+-----------+------------+------+-----------------+-------------------+----------+------------+----------+---------------+--------------------+-----------------+------------------------+---------------------+------------------------------+--------------------------------+-----------------------+-----------------------+----------------------------+---------------------------------+--------------------+-------------+------------------------+--------------------------+--------------------+-----------------+----------------------+---------------------------+----------------------+--------------------+----------------------------+------------------------------+---------------------+---------------------+--------------------------+-------------------------------+
| StudentID | Department | CGPA | TenthPercentage | TwelfthPercentage | Backlogs | Internship | Projects | AptitudeScore | CommunicationScore | PlacementStatus | StudentID_Standardized | CGPA_Standardized   | TenthPercentage_Standardized | TwelfthPercentage_Standardized | Backlogs_Standardized | Projects_Standardized | AptitudeScore_Standardized | CommunicationScore_Standardized | StudentID_Scaled   | CGPA_Scaled | TenthPercentage_Scaled | TwelfthPercentage_Scaled | Backlogs_Scaled    | Projects_Scaled | AptitudeScore_Scaled | CommunicationScore_Scaled | StudentID_Normalized | CGPA_Normalized    | TenthPercentage_Normalized | TwelfthPercentage_Normalized | Backlogs_Normalized | Projects_Normalized | AptitudeScore_Normalized | CommunicationScore_Normalized |
+-----------+------------+------+-----------------+-------------------+----------+------------+----------+---------------+--------------------+-----------------+------------------------+---------------------+------------------------------+--------------------------------+-----------------------+-----------------------+----------------------------+---------------------------------+--------------------+-------------+------------------------+--------------------------+--------------------+-----------------+----------------------+---------------------------+----------------------+--------------------+----------------------------+------------------------------+---------------------+---------------------+--------------------------+-------------------------------+
| 1         | CSE        | 8.5  | 88              | 85                | 0        | Yes        | 3        | 78            | 82                 | Placed          | -1.5666989036012806    | 1.199070115504868   | 1.3005442373195375           | 1.143992768858686              | -0.8620436566990363   | 0.9684959969581864    | 1.0419064489153735         | 1.1267979874026162              | 0.0                | 0.8125      | 0.8518518518518516     | 0.8333333333333335       | 0.0                | 0.75            | 0.75                 | 0.7894736842105265        | 0.0028943560057887   | 0.024602026049204  | 0.2547033285094066         | 0.2460202604920405           | 0.0                 | 0.0086830680173661  | 0.2257597684515195       | 0.2373371924746743            |
| 2         | ECE        | 6.2  | 72              | 68                | 2        | No         | 1        | 55            | 60                 | Not Placed      | -1.2185435916898848    | -1.1580762654021393 | -0.6261879661168148          | -0.82043925847441              | 1.0536089137432665    | -0.7924058156930615   | -0.8906619643953991        | -0.840627069967032              | 0.1111111111111111 | 0.09375     | 0.2592592592592591     | 0.2666666666666666       | 0.6666666666666666 | 0.25            | 0.1749999999999998   | 0.2105263157894739        | 0.0075131480090157   | 0.0232907588279489 | 0.270473328324568          | 0.2554470323065364           | 0.0075131480090157  | 0.0037565740045078  | 0.2066115702479339       | 0.2253944402704733            |
| 3         | EEE        | 7.8  | 80              | 79                | 0        | Yes        | 2        | 70            | 75                 | Placed          | -0.8703882797784892    | 0.4816777387070829  | 0.3371781356013613           | 0.4506638180352403             | -0.8620436566990363   | 0.0880450906325624    | 0.3697087399377135         | 0.5007991055122736              | 0.2222222222222222 | 0.59375     | 0.5555555555555554     | 0.6333333333333333       | 0.0                | 0.5             | 0.5499999999999998   | 0.605263157894737         | 0.0094696969696969   | 0.0246212121212121 | 0.2525252525252525         | 0.2493686868686868           | 0.0                 | 0.0063131313131313  | 0.2209595959595959       | 0.2367424242424242            |
| 4         | Mechanical | 5.9  | 65              | 60                | 3        | No         | 0        | 48            | 52                 | Not Placed      | -0.5222329678670935    | -1.4655301411726185 | -1.469133305120219           | -1.7448778595723375            | 2.011435198964418     | -1.6728567220186854   | -1.4788349597508517        | -1.556054363555995              | 0.3333333333333333 | 0.0         | 0.0                    | 0.0                      | 1.0                | 0.0             | 0.0                  | 0.0                       | 0.0168137873055905   | 0.0248003362757461 | 0.2732240437158469         | 0.2522068095838587           | 0.0126103404791929  | 0.0                 | 0.201765447667087        | 0.2185792349726776            |
| 5         | Civil      | 7.1  | 75              | 73                | 1        | Yes        | 2        | 65            | 68                 | Placed          | -0.1740776559556978    | -0.2357146380907021 | -0.2649256779724988          | -0.2426651327882053            | 0.0957826285221151    | 0.0880450906325624    | -0.050414828173324         | -0.125199776378069              | 0.4444444444444445 | 0.375       | 0.3703703703703702     | 0.4333333333333331       | 0.3333333333333333 | 0.5             | 0.4249999999999998   | 0.4210526315789473        | 0.016886187098953    | 0.0239783856805133 | 0.2532928064842958         | 0.2465383316447146           | 0.0033772374197906  | 0.0067544748395812  | 0.2195204322863897       | 0.2296521445457615            |
| 6         | CSE        | 9.1  | 92              | 90                | 0        | Yes        | 4        | 88            | 90                 | Placed          | 0.1740776559556978     | 1.8139778670458264  | 1.7822272881786256           | 1.7217668945448907             | -0.8620436566990363   | 1.8489469032838104    | 1.882153585137449          | 1.8422252809915791              | 0.5555555555555556 | 1.0         | 1.0                    | 1.0                      | 0.0                | 1.0             | 1.0                  | 1.0                       | 0.015826958586125    | 0.0240042205222896 | 0.2426800316539171         | 0.2374043787918754           | 0.0                 | 0.0105513057240833  | 0.2321287259298338       | 0.2374043787918754            |
| 7         | ECE        | 6.8  | 70              | 71                | 1        | No         | 1        | 58            | 62                 | Not Placed      | 0.5222329678670935     | -0.5431685138611811 | -0.8670294915463589          | -0.4737747830626872            | 0.0957826285221151    | -0.7924058156930615   | -0.6385878235287766        | -0.6617702465697912             | 0.6666666666666665 | 0.28125     | 0.1851851851851851     | 0.3666666666666667       | 0.3333333333333333 | 0.25            | 0.25                 | 0.2631578947368422        | 0.0252890173410404   | 0.0245664739884393 | 0.2528901734104046         | 0.2565028901734104           | 0.0036127167630057  | 0.0036127167630057  | 0.2095375722543352       | 0.2239884393063583            |
| 8         | EEE        | 8.0  | 84              | 82                | 0        | Yes        | 3        | 74            | 77                 | Placed          | 0.8703882797784892     | 0.686646989220736   | 0.8188611864604494           | 0.7973282934469632             | -0.8620436566990363   | 0.9684959969581864    | 0.7058075944265435         | 0.6796559289095143              | 0.7777777777777777 | 0.65625     | 0.7037037037037033     | 0.7333333333333334       | 0.0                | 0.75            | 0.6499999999999999   | 0.6578947368421053        | 0.0238095238095238   | 0.0238095238095238 | 0.25                       | 0.244047619047619            | 0.0                 | 0.0089285714285714  | 0.2202380952380952       | 0.2291666666666666            |
| 9         | Mechanical | 6.5  | 69              | 67                | 2        | No         | 1        | 52            | 58                 | Not Placed      | 1.2185435916898848     | -0.8506223896316603 | -0.9874502542611308          | -0.935994083611651             | 1.0536089137432665    | -0.7924058156930615   | -1.1427361052620215        | -1.0194838933642727             | 0.8888888888888888 | 0.1875      | 0.1481481481481479     | 0.2333333333333334       | 0.6666666666666666 | 0.25            | 0.0999999999999998   | 0.1578947368421053        | 0.0340264650283553   | 0.0245746691871455 | 0.2608695652173913         | 0.2533081285444234           | 0.0075614366729678  | 0.0037807183364839  | 0.1965973534971644       | 0.219281663516068             |
